COD_INT,CATEGORIA,NOME_PRODOTTO,SOTTOCATEGORIA,DESCRIZIONE,LISTINO_PREZZI,URL_IMMAGINE,URL_DOC
DDS-MYLITTLE-VALENTINE,Illuminazione,My Little Valentine,Lampade da tavolo,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/my-little-valentine,
DDS-MYLITTLE-EVENING,Illuminazione,My Little Evening,Lampade da tavolo,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/copia-di-my-little-evening,
DDS-MYLITTLE-KONG,Illuminazione,My Little Kong,Lampade da tavolo,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/my-little-kong,
DDS-POLDINA-PRO,Illuminazione,Poldina Pro e Poldina Mini,Lampade da tavolo,"Lampada ricaricabile da tavolo con base di ricarica a contatto, corpo in alluminio verniciato, diffusore in policarbonato e fonte luminosa a LED.",SI,https://www.dadesign.ch/product-page/poldina-pro,
DDS-POLDINA-MICRO,Illuminazione,Poldina Micro,Lampade da tavolo,"Lampada da tavolo ricaricabile, base di ricarica a contatto compresa, diffusore in policarbonato e fonte luminosa a LED, corpo in alluminio verniciato. Dimensioni: ø7 x H. 27,5cm. Promozione valida fino a esaurimento scorte.",SI,https://www.dadesign.ch/product-page/copia-di-poldina-pro,
DDS-PINA-PRO,Illuminazione,Pina Pro,Lampade da tavolo,"Lampada ricaricabile da tavolo, dimmerabile, con comandi touch. Corpo in pressofusione di alluminio verniciato. Selezione temperatura colore: 2200, 2700 e 3000 Kelvin. IP54 adatta a uso esterno e interno. Batteria al litio 12 ore. Dimensioni: ø 10,5 x h 29 cm.",SI,https://www.dadesign.ch/product-page/pina-pro,
DDS-HYBRID-ADELMA,Vasi e Contenitori,Hybrid Vase Adelma,Vasi,"Vaso in porcellana Bone China. Dimensioni: ø cm 14 h. 32,5.",SI,https://www.dadesign.ch/product-page/hybrid-vase-adelma,
DDS-HYBRID-MELANIA,Vasi e Contenitori,Hybrid Vase Melania,Vasi,"Vaso in porcellana Bone China. Dimensioni: ø cm 23 h. 26.",SI,https://www.dadesign.ch/product-page/hybrid-vase-melania,
DDS-JELLY,Vasi e Contenitori,Jelly,Vasi,"Jelly è una serie di complementi in PMMA, realizzati da Patricia Urquiola per Kartell. Si compone di vasi e piatti centrotavola. Disponibili nelle nuove versioni metallizzate. Dimensione: ø 23,5 cm - H. 25cm.",SI,https://www.dadesign.ch/product-page/jelly,
DDS-OKRA-ALTO,Vasi e Contenitori,Okra alto,Vasi,"Vaso Okra di Kartell nella versione alta. Forme sinuose disegnate da Patricia Urquiola. Materiale plastico riciclato. Misura: 18x18 H.34cm. Materiale: Tecnopolimero Termoplastico Riciclato.",SI,https://www.dadesign.ch/product-page/copia-di-okra-basso,
DDS-OKRA-BASSO,Vasi e Contenitori,Okra basso,Vasi,"Vaso Okra di Kartell nella versione bassa. Forme sinuose disegnate da Patricia Urquiola. Materiale plastico riciclato. Misura: 18x18 H.24cm. Materiale: Tecnopolimero Termoplastico Riciclato.",SI,https://www.dadesign.ch/product-page/okra-basso,
DDS-CIRCUS-LUCY,Vasi e Contenitori,Vaso Circus Lucy,Vasi,"Vaso Circus Lucy di Seletti. Simpatici personaggi ispirati al mondo del circo. Design: Uto Balmoral. Materiale: Resina. Misure: cm 28 x 17,5 x 28,50.",SI,https://www.dadesign.ch/product-page/vaso-circus-lucy,
DDS-TRULLO,Vasi e Contenitori,Trullo,Centrotavola,"Centrotavola, contenitore multiuso. Materiale: Tecnopolimero termoplastico trasparente o colorato in massa e metallizzato. Dimensioni: ø25 x h.27cm.",SI,https://www.dadesign.ch/product-page/trullo,
DDS-PUMO,Vasi e Contenitori,Pumo,Centrotavola,"Centrotavola, contenitore multiuso. Materiale: Tecnopolimero termoplastico trasparente o colorato in massa e metallizzato. Dimensioni: ø21 x h.29cm.",SI,https://www.dadesign.ch/product-page/pumo,
DDS-COMP-2,Complementi d'arredo,Componibili (2 elementi),Contenitori,"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm. Composizione a 2 elementi.",SI,https://www.dadesign.ch/product-page/componibili-2-elementi,
DDS-COMP-3,Complementi d'arredo,Componibili (3 elementi),Contenitori,"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm. Composizione a 3 elementi.",SI,https://www.dadesign.ch/product-page/componibili-3-elementi,
DDS-COMP-4,Complementi d'arredo,Componibili (4 elementi),Contenitori,"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm. Composizione a 4 elementi.",SI,https://www.dadesign.ch/product-page/componibili-4-elementi,
DDS-COMP,Complementi d'arredo,Componibili,Contenitori,"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm.",SI,https://www.dadesign.ch/product-page/componibili,
DDS-FRANCOIS,Complementi d'arredo,Francois Ghost Specchio,Specchi,"Specchio in PMMA trasparente. Dimensioni: 65 x 5,7 x h. 79 cm. Colore B4 Cristal.",SI,https://www.dadesign.ch/product-page/francois-ghost-specchio,
DDS-SPECCHIO-GIOIE,Complementi d'arredo,Specchio con supporto portagioie,Specchi,"Gerson di Yamazaki, specchio con supporto portagioie. Grandezza: 16 cm. Lunghezza: 17,5 cm. Colore: Bianco.",SI,https://www.dadesign.ch/product-page/specchio-con-supporto-portagioie,
DDS-TICTAC,Complementi d'arredo,TIC&TAC,Orologi,"TIC&TAC METAL di Kartell by Philippe Starck con Eugeni Quitllet. Scatola quadrata trasparente 30x30 cm con numeri romani incisi e lancette colorate. Il tempo diventa un'esperienza estetica.",SI,https://www.dadesign.ch/product-page/tic-tac,
DDS-SAPIENS-P,Complementi d'arredo,Libreria Sapiens (piccola),Librerie,"Libreria verticale in metallo verniciata a polveri epossidiche. Design by Bruno Rainaldi. H 97 cm circa 35 libri (6 ripiani). Colonna in tubo di acciaio 100×30 mm.",SI,https://www.dadesign.ch/product-page/libreria-sapiens-piccola,
DDS-SAPIENS-M,Complementi d'arredo,Libreria Sapiens (media),Librerie,"Libreria verticale in metallo verniciata a polveri epossidiche. Design by Bruno Rainaldi. H 152 cm circa 50 libri (10 ripiani). Colonna in tubo di acciaio 100×30 mm.",SI,https://www.dadesign.ch/product-page/libreria-sapiens-media,
DDS-SAPIENS-G,Complementi d'arredo,Libreria Sapiens (grande),Librerie,"Libreria verticale in metallo verniciata a polveri epossidiche. Design by Bruno Rainaldi. H 202 cm circa 70 libri (14 ripiani). Colonna in tubo di acciaio 100×30 mm.",SI,https://www.dadesign.ch/product-page/libreria-sapiens-grande,
DDS-LOVE-BOX,Complementi d'arredo,Love in a box,Portagioielli,"Portagioielli a forma di cuore impreziosito da velluto rosso. Design: MARCANTONIO. Materiale: porcellana fine. Dimensioni: cm 13,6 x 18,9 h. 7,4.",SI,https://www.dadesign.ch/product-page/love-in-a-box,
DDS-TEATIME,Cucina e Tavola,TEATIME Vassoio,Vassoi,"Elegante vassoio con bordi trasparenti. Materiale: PMMA riciclato e metallizzato. Dimensioni: 43,5 x 33 x h.4,1cm. In promozione.",SI,https://www.dadesign.ch/product-page/teatime-vassoio,
DDS-VASSOIO-TT,Cucina e Tavola,Vassoio Teatime,Vassoi,"Vassoio Teatime di Kartell. Ricami preziosi che ricordano il passato. TEATIME è il nuovo vassoio di Philippe Starck che gioca con richiami ai trafori all'uncinetto. Materiale sostenibile ad alto contenuto tecnologico. Disponibile in oro, bronzo e cromo.",SI,https://www.dadesign.ch/product-page/vassoio-teatime,
DDS-ANNAG,Cucina e Tavola,ANNA G. Cavatappi,Accessori cucina,"Cavatappi in resina termoplastica e zama cromata. Dimensioni: ø 7cm, h. 24,5cm.",SI,https://www.dadesign.ch/product-page/anna-g-cavatappi,
DDS-ANNASTOP,Cucina e Tavola,ANNA Stop,Accessori cucina,"Tappo per bottiglie in resina termoplastica e zama cromata. Dimensioni: ø 4cm, h. 10cm. Colore nero, bordatura gialla.",SI,https://www.dadesign.ch/product-page/anna-stop-2,
DDS-PLISSE-BOLL,Cucina e Tavola,Plissé Bollitore 1l,Elettrodomestici,"Bollitore elettrico 100cl di Alessi in resina termoplastica. Design Michele De Lucchi. Spina svizzera.",SI,https://www.dadesign.ch/product-page/pliss%C3%A9-bollitore-1l,
DDS-PLISSE-SPREM,Cucina e Tavola,Plissé Spremiagrumi,Elettrodomestici,"Spremiagrumi in resina termoplastica. Design Michele De Lucchi. Spina svizzera.",SI,https://www.dadesign.ch/product-page/pliss%C3%A9-spremiagrumi,
DDS-TOSTAPANE,Cucina e Tavola,Tostapane Smeg,Elettrodomestici,"Tostapane Smeg 50's Style Lungo.",SI,https://www.dadesign.ch/product-page/tostapane-smeg,
DDS-TIGRITO,Cucina e Tavola,Tigrito,Accessori animali,"Ciotola per gatti in resina termoplastica e acciaio inossidabile. Capacità: 55cl. Dimensioni: Largh. 16cm x Lungh. 32cm x Alt. 28cm.",SI,https://www.dadesign.ch/product-page/tigrito,
DDS-MUG-SNAKES,Tazze,Snakes - Porcelain Mug,Tazze,"Tazza in porcellana con manico oro vero. Fantasia Snakes. Misure: ø 8 H. 10cm.",SI,https://www.dadesign.ch/product-page/copia-di-roses-porcelain-mug,
DDS-MUG-ROSES,Tazze,Roses - Porcelain Mug,Tazze,"Tazza in porcellana con manico oro vero. Fantasia Roses. Misure: ø 8 H. 10cm.",SI,https://www.dadesign.ch/product-page/roses-porcelain-mug,
DDS-MUG-REVOLVER,Tazze,Revolver - Porcelain Mug,Tazze,"Tazza in porcellana con manico oro vero. Fantasia Revolver. Misure: ø 8 H. 10cm.",SI,https://www.dadesign.ch/product-page/revolver-porcelain-mug,
DDS-MUG-SHIT,Tazze,Shit - Porcelain Mug,Tazze,"Tazza in porcellana con manico oro vero. Fantasia Shit. Misure: ø 8 H. 10cm.",SI,https://www.dadesign.ch/product-page/porcelain-mug-shit,
DDS-LAPTOP-SHIT,Accessori,Custodia Laptop Shit,Custodie,"Custodia per laptop firmata Toiletpaper per Seletti. Adatta ai laptop da 13"". Dimensioni: 34.5 x 25 cm.",SI,https://www.dadesign.ch/product-page/custodia-laptop-shit,
DDS-WASHBAG,Accessori,Wash Bag rossetti,Astucci,"Astuccio Seletti. Design: TOILETPAPER. Materiale: esterno 100% PU, Imbottitura 100% Poliestere. Dimensioni: 23 x 8 h. 13.",SI,https://www.dadesign.ch/product-page/wash-bag-rossetti,
DDS-BORR-SERPENTI,Accessori,Borraccia termica Serpenti,Borracce,"Bottiglia termica Seletti by TOILETPAPER. Due strati di acciaio inossidabile: bevanda calda 12 ore o fredda 24 ore. Dimensioni: ø cm 7 h. 20 / 500 ml.",SI,https://www.dadesign.ch/product-page/borraccia-termica-serpenti,
DDS-BORR-SHIT,Accessori,Borraccia termica Shit,Borracce,"Bottiglia termica Seletti by TOILETPAPER. Due strati di acciaio inossidabile: bevanda calda 12 ore o fredda 24 ore. Dimensioni: ø cm 7 h. 20 / 500 ml.",SI,https://www.dadesign.ch/product-page/borraccia-termica-shit,
DDS-NB-LOVE,Accessori,Notebook piccolo Love Edition,Cancelleria,"Taccuino Love Edition di Seletti. Design: TOILETPAPER. Dimensioni: cm 10,5 x 15.",SI,https://www.dadesign.ch/product-page/notebook-piccolo-love-edition,
DDS-NB-SPAGHETTI,Accessori,Notebook piccolo Spaghetti,Cancelleria,"Taccuino Seletti 10,5 x 15 cm con elastico di chiusura e busta porta documenti incorporata nella copertina.",SI,https://www.dadesign.ch/product-page/notebook-big-spaghetti,
DDS-NB-TOOTHPASTE,Accessori,Notebook grande Toothpaste,Cancelleria,"Taccuino Seletti 21x14 cm con elastico di chiusura e busta porta documenti incorporata nella copertina.",SI,https://www.dadesign.ch/product-page/notebook-big-toothpaste,
DDS-MATPILLS,Accessori,Mat Pills,Tappeti,"Tappeto Design: Toiletaper. Materiale: Poliestere, fronte in 100% plastica riciclata. Dimensioni: cm 200 x 60.",SI,https://www.dadesign.ch/product-page/mat-pills,
DDS-RADIOCUBO,Audio e Tecnologia,Radio.cubo 50°,Radio,"Rivisitazione della mitica radio.cubo ts502 di Richard Sapper e Marco Zanuso. Brand: Brionvega. 70% ABS 30% alluminio. Peso: 3.5kg. 30 Watt. Bluetooth 3. Batteria 2500mAh. Ricarica 5 ore. Frequenza: 60-20000Hz.",SI,https://www.dadesign.ch/product-page/radio-cubo-50,
