ID,COD_INT,CATEGORIA,SOTTOCATEGORIA,TIPO,NOME_PRODOTTO,DESCRIZIONE,LISTINO_PREZZI,URL_IMMAGINE,URL_DOC,ATTIVO
,DDS-KABUKI,Illuminazione,Lampade da terra,,Kabuki Indoor,"Lampada da terra dimmerabile in policarbonato 2.0 da materia prima rinnovabile. Dimensioni: ø 50 x h. 166cm | Peso: 6,7 Kg. 220-240V | IP 20 | 19W integrated Led | 2700°K | CRI 80 | 50.000 h. | dimmer 2289lm.",SI,https://www.dadesign.ch/product-page/kabuki-indoor,,SI
,DDS-GEENA,Illuminazione,Lampade da tavolo,,Mini Geen-a battery,"Lampada senza filo ricaricabile. Adatta per esterni. Materiale: Acciaio verniciato a polvere poliestere. Dimensioni: 20 x h.36,5 cm. CLASS E, IP20, 1.5W LED integrato, 2700°K CRI80, 50.000 h., 200lm.",SI,https://www.dadesign.ch/product-page/mini-geen-a-battery,,SI
,DDS-MYLITTLE-CORNER,Illuminazione,Lampade da tavolo,,My Little Corner,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/my-little-corner,,SI
,DDS-MYLITTLE-VALENTINE,Illuminazione,Lampade da tavolo,,My Little Valentine,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/my-little-valentine,,SI
,DDS-MYLITTLE-EVENING,Illuminazione,Lampade da tavolo,,My Little Evening,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/copia-di-my-little-evening,,SI
,DDS-MYLITTLE-KONG,Illuminazione,Lampade da tavolo,,My Little Kong,"Lampada da Tavolo con 3 possibilità di luce, ricaricabile. Materiale: Resina, Vetro. Dimensioni: ø 11,2 x h. 22,8cm.",SI,https://www.dadesign.ch/product-page/my-little-kong,,SI
,DDS-POLDINA-PRO,Illuminazione,Lampade da tavolo,,Poldina Pro e Poldina Mini,"Lampada ricaricabile da tavolo con base di ricarica a contatto, corpo in alluminio verniciato, diffusore in policarbonato e fonte luminosa a LED.",SI,https://www.dadesign.ch/product-page/poldina-pro,,SI
,DDS-POLDINA-MICRO,Illuminazione,Lampade da tavolo,,Poldina Micro,"Lampada da tavolo ricaricabile, base di ricarica a contatto compresa, diffusore in policarbonato e fonte luminosa a LED, corpo in alluminio verniciato. Dimensioni: ø7 x H. 27,5cm. Promozione valida fino a esaurimento scorte.",SI,https://www.dadesign.ch/product-page/copia-di-poldina-pro,,SI
,DDS-PINA-PRO,Illuminazione,Lampade da tavolo,,Pina Pro,"Lampada ricaricabile da tavolo, dimmerabile, con comandi touch. Corpo in pressofusione di alluminio verniciato. Selezione temperatura colore: 2200, 2700 e 3000 Kelvin. IP54 adatta a uso esterno e interno. Batteria al litio 12 ore. Dimensioni: ø 10,5 x h 29 cm.",SI,https://www.dadesign.ch/product-page/pina-pro,,SI
,DDS-HYBRID-ADELMA,Vasi e Contenitori,Vasi,,Hybrid Vase Adelma,"Vaso in porcellana Bone China. Dimensioni: ø cm 14 h. 32,5.",SI,https://www.dadesign.ch/product-page/hybrid-vase-adelma,,SI
,DDS-HYBRID-MELANIA,Vasi e Contenitori,Vasi,,Hybrid Vase Melania,Vaso in porcellana Bone China. Dimensioni: ø cm 23 h. 26.,SI,https://www.dadesign.ch/product-page/hybrid-vase-melania,,SI
,DDS-JELLY,Vasi e Contenitori,Vasi,,Jelly,"Jelly è una serie di complementi in PMMA, realizzati da Patricia Urquiola per Kartell. Si compone di vasi e piatti centrotavola. Disponibili nelle nuove versioni metallizzate. Dimensione: ø 23,5 cm - H. 25cm.",SI,https://www.dadesign.ch/product-page/jelly,,SI
,DDS-OKRA-ALTO,Vasi e Contenitori,Vasi,,Okra alto,Vaso Okra di Kartell nella versione alta. Forme sinuose disegnate da Patricia Urquiola. Materiale plastico riciclato. Misura: 18x18 H.34cm. Materiale: Tecnopolimero Termoplastico Riciclato.,SI,https://www.dadesign.ch/product-page/copia-di-okra-basso,,SI
,DDS-OKRA-BASSO,Vasi e Contenitori,Vasi,,Okra basso,Vaso Okra di Kartell nella versione bassa. Forme sinuose disegnate da Patricia Urquiola. Materiale plastico riciclato. Misura: 18x18 H.24cm. Materiale: Tecnopolimero Termoplastico Riciclato.,SI,https://www.dadesign.ch/product-page/okra-basso,,SI
,DDS-CIRCUS-LUCY,Vasi e Contenitori,Vasi,,Vaso Circus Lucy,"Vaso Circus Lucy di Seletti. Simpatici personaggi ispirati al mondo del circo. Design: Uto Balmoral. Materiale: Resina. Misure: cm 28 x 17,5 x 28,50.",SI,https://www.dadesign.ch/product-page/vaso-circus-lucy,,SI
,DDS-TRULLO,Vasi e Contenitori,Centrotavola,,Trullo,"Centrotavola, contenitore multiuso. Materiale: Tecnopolimero termoplastico trasparente o colorato in massa e metallizzato. Dimensioni: ø25 x h.27cm.",SI,https://www.dadesign.ch/product-page/trullo,,SI
,DDS-PUMO,Vasi e Contenitori,Centrotavola,,Pumo,"Centrotavola, contenitore multiuso. Materiale: Tecnopolimero termoplastico trasparente o colorato in massa e metallizzato. Dimensioni: ø21 x h.29cm.",SI,https://www.dadesign.ch/product-page/pumo,,SI
,DDS-COMP-2,Complementi d'arredo,Contenitori,,Componibili (2 elementi),"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm. Composizione a 2 elementi.",SI,https://www.dadesign.ch/product-page/componibili-2-elementi,,SI
,DDS-COMP-3,Complementi d'arredo,Contenitori,,Componibili (3 elementi),"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm. Composizione a 3 elementi.",SI,https://www.dadesign.ch/product-page/componibili-3-elementi,,SI
,DDS-COMP-4,Complementi d'arredo,Contenitori,,Componibili (4 elementi),"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm. Composizione a 4 elementi.",SI,https://www.dadesign.ch/product-page/componibili-4-elementi,,SI
,DDS-COMP,Complementi d'arredo,Contenitori,,Componibili,"I Componibili sono pensati per rispondere alle diverse esigenze di utilizzo in ogni ambiente della casa. Introdotti nel 1967, un classico intramontabile. Versione tonda diametro 32 cm.",SI,https://www.dadesign.ch/product-page/componibili,,SI
,DDS-FRANCOIS,Complementi d'arredo,Specchi,,Francois Ghost Specchio,"Specchio in PMMA trasparente. Dimensioni: 65 x 5,7 x h. 79 cm. Colore B4 Cristal.",SI,https://www.dadesign.ch/product-page/francois-ghost-specchio,,SI
,DDS-SPECCHIO-GIOIE,Complementi d'arredo,Specchi,,Specchio con supporto portagioie,"Gerson di Yamazaki, specchio con supporto portagioie. Grandezza: 16 cm. Lunghezza: 17,5 cm. Colore: Bianco.",SI,https://www.dadesign.ch/product-page/specchio-con-supporto-portagioie,,SI
,DDS-TICTAC,Complementi d'arredo,Orologi,,TIC&TAC,TIC&TAC METAL di Kartell by Philippe Starck con Eugeni Quitllet. Scatola quadrata trasparente 30x30 cm con numeri romani incisi e lancette colorate. Il tempo diventa un'esperienza estetica.,SI,https://www.dadesign.ch/product-page/tic-tac,,SI
,DDS-SAPIENS-P,Complementi d'arredo,Librerie,,Libreria Sapiens (piccola),Libreria verticale in metallo verniciata a polveri epossidiche. Design by Bruno Rainaldi. H 97 cm circa 35 libri (6 ripiani). Colonna in tubo di acciaio 100×30 mm.,SI,https://www.dadesign.ch/product-page/libreria-sapiens-piccola,,SI
,DDS-SAPIENS-M,Complementi d'arredo,Librerie,,Libreria Sapiens (media),Libreria verticale in metallo verniciata a polveri epossidiche. Design by Bruno Rainaldi. H 152 cm circa 50 libri (10 ripiani). Colonna in tubo di acciaio 100×30 mm.,SI,https://www.dadesign.ch/product-page/libreria-sapiens-media,,SI
,DDS-SAPIENS-G,Complementi d'arredo,Librerie,,Libreria Sapiens (grande),Libreria verticale in metallo verniciata a polveri epossidiche. Design by Bruno Rainaldi. H 202 cm circa 70 libri (14 ripiani). Colonna in tubo di acciaio 100×30 mm.,SI,https://www.dadesign.ch/product-page/libreria-sapiens-grande,,SI
,DDS-LOVE-BOX,Complementi d'arredo,Portagioielli,,Love in a box,"Portagioielli a forma di cuore impreziosito da velluto rosso. Design: MARCANTONIO. Materiale: porcellana fine. Dimensioni: cm 13,6 x 18,9 h. 7,4.",SI,https://www.dadesign.ch/product-page/love-in-a-box,,SI
,DDS-TEATIME,Cucina e Tavola,Vassoi,,TEATIME Vassoio,"Elegante vassoio con bordi trasparenti. Materiale: PMMA riciclato e metallizzato. Dimensioni: 43,5 x 33 x h.4,1cm. In promozione.",SI,https://www.dadesign.ch/product-page/teatime-vassoio,,SI
,DDS-VASSOIO-TT,Cucina e Tavola,Vassoi,,Vassoio Teatime,"Vassoio Teatime di Kartell. Ricami preziosi che ricordano il passato. TEATIME è il nuovo vassoio di Philippe Starck che gioca con richiami ai trafori all'uncinetto. Materiale sostenibile ad alto contenuto tecnologico. Disponibile in oro, bronzo e cromo.",SI,https://www.dadesign.ch/product-page/vassoio-teatime,,SI
,DDS-ANNAG,Cucina e Tavola,Accessori cucina,,ANNA G. Cavatappi,"Cavatappi in resina termoplastica e zama cromata. Dimensioni: ø 7cm, h. 24,5cm.",SI,https://www.dadesign.ch/product-page/anna-g-cavatappi,,SI
,DDS-ANNASTOP,Cucina e Tavola,Accessori cucina,,ANNA Stop,"Tappo per bottiglie in resina termoplastica e zama cromata. Dimensioni: ø 4cm, h. 10cm. Colore nero, bordatura gialla.",SI,https://www.dadesign.ch/product-page/anna-stop-2,,SI
,DDS-PLISSE-BOLL,Cucina e Tavola,Elettrodomestici,,Plissé Bollitore 1l,Bollitore elettrico 100cl di Alessi in resina termoplastica. Design Michele De Lucchi. Spina svizzera.,SI,https://www.dadesign.ch/product-page/pliss%C3%A9-bollitore-1l,,SI
,DDS-PLISSE-SPREM,Cucina e Tavola,Elettrodomestici,,Plissé Spremiagrumi,Spremiagrumi in resina termoplastica. Design Michele De Lucchi. Spina svizzera.,SI,https://www.dadesign.ch/product-page/pliss%C3%A9-spremiagrumi,,SI
,DDS-TOSTAPANE,Cucina e Tavola,Elettrodomestici,,Tostapane Smeg,Tostapane Smeg 50's Style Lungo.,SI,https://www.dadesign.ch/product-page/tostapane-smeg,,SI
,DDS-TIGRITO,Cucina e Tavola,Accessori animali,,Tigrito,Ciotola per gatti in resina termoplastica e acciaio inossidabile. Capacità: 55cl. Dimensioni: Largh. 16cm x Lungh. 32cm x Alt. 28cm.,SI,https://www.dadesign.ch/product-page/tigrito,,SI
,DDS-MUG-SNAKES,Tazze,Tazze,,Snakes - Porcelain Mug,Tazza in porcellana con manico oro vero. Fantasia Snakes. Misure: ø 8 H. 10cm.,SI,https://www.dadesign.ch/product-page/copia-di-roses-porcelain-mug,,SI
,DDS-MUG-ROSES,Tazze,Tazze,,Roses - Porcelain Mug,Tazza in porcellana con manico oro vero. Fantasia Roses. Misure: ø 8 H. 10cm.,SI,https://www.dadesign.ch/product-page/roses-porcelain-mug,,SI
,DDS-MUG-REVOLVER,Tazze,Tazze,,Revolver - Porcelain Mug,Tazza in porcellana con manico oro vero. Fantasia Revolver. Misure: ø 8 H. 10cm.,SI,https://www.dadesign.ch/product-page/revolver-porcelain-mug,,SI
,DDS-MUG-SHIT,Tazze,Tazze,,Shit - Porcelain Mug,Tazza in porcellana con manico oro vero. Fantasia Shit. Misure: ø 8 H. 10cm.,SI,https://www.dadesign.ch/product-page/porcelain-mug-shit,,SI
,DDS-LAPTOP-SHIT,Accessori,Custodie,,Custodia Laptop Shit,"Custodia per laptop firmata Toiletpaper per Seletti. Adatta ai laptop da 13"". Dimensioni: 34.5 x 25 cm.",SI,https://www.dadesign.ch/product-page/custodia-laptop-shit,,SI
,DDS-WASHBAG,Accessori,Astucci,,Wash Bag rossetti,"Astuccio Seletti. Design: TOILETPAPER. Materiale: esterno 100% PU, Imbottitura 100% Poliestere. Dimensioni: 23 x 8 h. 13.",SI,https://www.dadesign.ch/product-page/wash-bag-rossetti,,SI
,DDS-BORR-SERPENTI,Accessori,Borracce,,Borraccia termica Serpenti,Bottiglia termica Seletti by TOILETPAPER. Due strati di acciaio inossidabile: bevanda calda 12 ore o fredda 24 ore. Dimensioni: ø cm 7 h. 20 / 500 ml.,SI,https://www.dadesign.ch/product-page/borraccia-termica-serpenti,,SI
,DDS-BORR-SHIT,Accessori,Borracce,,Borraccia termica Shit,Bottiglia termica Seletti by TOILETPAPER. Due strati di acciaio inossidabile: bevanda calda 12 ore o fredda 24 ore. Dimensioni: ø cm 7 h. 20 / 500 ml.,SI,https://www.dadesign.ch/product-page/borraccia-termica-shit,,SI
,DDS-NB-LOVE,Accessori,Cancelleria,,Notebook piccolo Love Edition,"Taccuino Love Edition di Seletti. Design: TOILETPAPER. Dimensioni: cm 10,5 x 15.",SI,https://www.dadesign.ch/product-page/notebook-piccolo-love-edition,,SI
,DDS-NB-SPAGHETTI,Accessori,Cancelleria,,Notebook piccolo Spaghetti,"Taccuino Seletti 10,5 x 15 cm con elastico di chiusura e busta porta documenti incorporata nella copertina.",SI,https://www.dadesign.ch/product-page/notebook-big-spaghetti,,SI
,DDS-NB-TOOTHPASTE,Accessori,Cancelleria,,Notebook grande Toothpaste,Taccuino Seletti 21x14 cm con elastico di chiusura e busta porta documenti incorporata nella copertina.,SI,https://www.dadesign.ch/product-page/notebook-big-toothpaste,,SI
,DDS-MATPILLS,Accessori,Tappeti,,Mat Pills,"Tappeto Design: Toiletaper. Materiale: Poliestere, fronte in 100% plastica riciclata. Dimensioni: cm 200 x 60.",SI,https://www.dadesign.ch/product-page/mat-pills,,SI
,DDS-RADIOCUBO,Audio e Tecnologia,Radio,,Radio.cubo 50°,Rivisitazione della mitica radio.cubo ts502 di Richard Sapper e Marco Zanuso. Brand: Brionvega. 70% ABS 30% alluminio. Peso: 3.5kg. 30 Watt. Bluetooth 3. Batteria 2500mAh. Ricarica 5 ore. Frequenza: 60-20000Hz.,SI,https://www.dadesign.ch/product-page/radio-cubo-50,,SI
